"section"	"question"	"item"	"type"	"ID"	"description"
"I0"			"section"	"I0"	"Introduction"
"I0"	1		"question"	"I001"	"Introduction"
"I0"	2		"question"	"I002"	"Voluntarily"
"I0"	2	1	"item"	"I002_01"	"I agree"
"I0"	2	2	"item"	"I002_02"	"I do not agree"
"I0"	3		"question"	"I003"	"Sharing"
"I0"	3	1	"item"	"I003_01"	"I agree"
"I0"	3	2	"item"	"I003_02"	"I do not agree"
"I0"	4		"question"	"I004"	"Available"
"I0"	4	1	"item"	"I004_01"	"I agree"
"I0"	4	2	"item"	"I004_02"	"I do not agree"
"I0"	5		"question"	"I005"	"Free_Will"
"I0"	5	1	"item"	"I005_01"	"I agree"
"I0"	5	2	"item"	"I005_02"	"I do not agree"
"Q0"			"section"	"Q0"	"Questions"
"Q0"	1		"question"	"Q001"	"Intro"
"Q0"	2		"question"	"Q002"	"Check"
"Q0"	2	1	"item"	"Q002_01"	"1"
"Q0"	2	2	"item"	"Q002_02"	"2"
"Q0"	2	3	"item"	"Q002_03"	"3"
"Q0"	2	4	"item"	"Q002_04"	"4"
"Q0"	2	5	"item"	"Q002_05"	"5"
"Q0"	3		"question"	"Q003"	"Bye - not agreed to conds"
"Q0"	4		"question"	"Q004"	"Bye - <1 Experience"
"Q0"	5		"question"	"Q005"	"Vehicle Layer"
"Q0"	5	1	"item"	"Q005_01"	"I agree with the Vehicle Layer components."
"Q0"	5	2	"item"	"Q005_02"	"I disagree with the Vehicle Layer components because"
"Q0"	5	4	"item"	"Q005_04"	"Missing component(s):"
"Q0"	5	3	"item"	"Q005_03"	"I have no opinion."
"Q0"	6		"question"	"Q006"	"VL - Infotainment"
"Q0"	6	1	"item"	"Q006_01"	"I agree with the component and its subcomponent(s)."
"Q0"	6	2	"item"	"Q006_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	6	3	"item"	"Q006_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	6	4	"item"	"Q006_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	6	5	"item"	"Q006_05"	"I have no opinion."
"Q0"	7		"question"	"Q007"	"VL - Telematics"
"Q0"	7	1	"item"	"Q007_01"	"I agree with the component and its subcomponent(s)."
"Q0"	7	2	"item"	"Q007_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	7	3	"item"	"Q007_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	7	4	"item"	"Q007_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	7	5	"item"	"Q007_05"	"I have no opinion."
"Q0"	8		"question"	"Q008"	"VL - Central Unit"
"Q0"	8	1	"item"	"Q008_01"	"I agree with the component and its subcomponent(s)."
"Q0"	8	2	"item"	"Q008_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	8	3	"item"	"Q008_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	8	4	"item"	"Q008_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	8	5	"item"	"Q008_05"	"I have no opinion."
"Q0"	9		"question"	"Q009"	"VL - Communication Modules"
"Q0"	9	1	"item"	"Q009_01"	"I agree with the component and its subcomponent(s)."
"Q0"	9	2	"item"	"Q009_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	9	3	"item"	"Q009_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	9	4	"item"	"Q009_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	9	5	"item"	"Q009_05"	"I have no opinion."
"Q0"	10		"question"	"Q010"	"VL - Actuators"
"Q0"	10	1	"item"	"Q010_01"	"I agree with the component and its subcomponent(s)."
"Q0"	10	2	"item"	"Q010_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	10	3	"item"	"Q010_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	10	4	"item"	"Q010_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	10	5	"item"	"Q010_05"	"I have no opinion."
"Q0"	11		"question"	"Q011"	"VL - ECUs"
"Q0"	11	1	"item"	"Q011_01"	"I agree with the component and its subcomponent(s)."
"Q0"	11	2	"item"	"Q011_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	11	3	"item"	"Q011_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	11	4	"item"	"Q011_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	11	5	"item"	"Q011_05"	"I have no opinion."
"Q0"	12		"question"	"Q012"	"VL - OBD"
"Q0"	12	1	"item"	"Q012_01"	"I agree with the component and its subcomponent(s)."
"Q0"	12	2	"item"	"Q012_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	12	3	"item"	"Q012_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	12	4	"item"	"Q012_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	12	5	"item"	"Q012_05"	"I have no opinion."
"Q0"	13		"question"	"Q013"	"VL - Key"
"Q0"	13	1	"item"	"Q013_01"	"I agree with the component and its subcomponent(s)."
"Q0"	13	2	"item"	"Q013_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	13	3	"item"	"Q013_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	13	4	"item"	"Q013_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	13	5	"item"	"Q013_05"	"I have no opinion."
"Q0"	14		"question"	"Q014"	"VL - Bus Systems"
"Q0"	14	1	"item"	"Q014_01"	"I agree with the component and its subcomponent(s)."
"Q0"	14	2	"item"	"Q014_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	14	3	"item"	"Q014_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	14	4	"item"	"Q014_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	14	5	"item"	"Q014_05"	"I have no opinion."
"Q0"	61		"question"	"Q061"	"VL - Sensors"
"Q0"	61	1	"item"	"Q061_01"	"I agree with the component and its subcomponent(s)."
"Q0"	61	2	"item"	"Q061_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	61	3	"item"	"Q061_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	61	4	"item"	"Q061_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	61	5	"item"	"Q061_05"	"I have no opinion."
"Q0"	15		"question"	"Q015"	"VL - EDR"
"Q0"	15	1	"item"	"Q015_01"	"I agree with the component and its subcomponent(s)."
"Q0"	15	2	"item"	"Q015_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	15	3	"item"	"Q015_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	15	4	"item"	"Q015_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	15	5	"item"	"Q015_05"	"I have no opinion."
"Q0"	16		"question"	"Q016"	"VL - Comfort"
"Q0"	16	1	"item"	"Q016_01"	"I agree with the component and its subcomponent(s)."
"Q0"	16	2	"item"	"Q016_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	16	3	"item"	"Q016_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	16	4	"item"	"Q016_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	16	5	"item"	"Q016_05"	"I have no opinion."
"Q0"	17		"question"	"Q017"	"VL - Drive"
"Q0"	17	1	"item"	"Q017_01"	"I agree with the component and its subcomponent(s)."
"Q0"	17	2	"item"	"Q017_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	17	3	"item"	"Q017_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	17	4	"item"	"Q017_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	17	5	"item"	"Q017_05"	"I have no opinion."
"Q0"	21		"question"	"Q021"	"Missing Vehicle Components"
"Q0"	21	17	"item"	"Q021_17"	"Missing Vehicle Layer Component(s)"
"Q0"	21	1	"item"	"Q021_01"	"Infotainment"
"Q0"	21	2	"item"	"Q021_02"	"Telematics"
"Q0"	21	3	"item"	"Q021_03"	"Central Unit"
"Q0"	21	4	"item"	"Q021_04"	"Communication Modules"
"Q0"	21	5	"item"	"Q021_05"	"Actuators"
"Q0"	21	6	"item"	"Q021_06"	"ECUs"
"Q0"	21	7	"item"	"Q021_07"	"OBD"
"Q0"	21	8	"item"	"Q021_08"	"Key"
"Q0"	21	9	"item"	"Q021_09"	"Bus Systems"
"Q0"	21	10	"item"	"Q021_10"	"Sensors"
"Q0"	21	11	"item"	"Q021_11"	"EDR"
"Q0"	21	12	"item"	"Q021_12"	"Comfort"
"Q0"	21	13	"item"	"Q021_13"	"Drive"
"Q0"	21	18	"item"	"Q021_18"	"Other Comments"
"Q0"	22		"question"	"Q022"	"Proximity Layer"
"Q0"	22	1	"item"	"Q022_01"	"I agree with the Proximity Layer components."
"Q0"	22	2	"item"	"Q022_02"	"I disagree with the Proximity Layer components because"
"Q0"	22	4	"item"	"Q022_04"	"Missing component(s):"
"Q0"	22	3	"item"	"Q022_03"	"I have no opinion."
"Q0"	23		"question"	"Q023"	"PL - Bluetooth"
"Q0"	23	1	"item"	"Q023_01"	"I agree with the component and its subcomponent(s)."
"Q0"	23	2	"item"	"Q023_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	23	3	"item"	"Q023_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	23	4	"item"	"Q023_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	23	5	"item"	"Q023_05"	"I have no opinion."
"Q0"	24		"question"	"Q024"	"PL - V2I"
"Q0"	24	1	"item"	"Q024_01"	"I agree with the component and its subcomponent(s)."
"Q0"	24	2	"item"	"Q024_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	24	3	"item"	"Q024_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	24	4	"item"	"Q024_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	24	5	"item"	"Q024_05"	"I have no opinion."
"Q0"	25		"question"	"Q025"	"PL - V2P"
"Q0"	25	1	"item"	"Q025_01"	"I agree with the component and its subcomponent(s)."
"Q0"	25	2	"item"	"Q025_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	25	3	"item"	"Q025_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	25	4	"item"	"Q025_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	25	5	"item"	"Q025_05"	"I have no opinion."
"Q0"	26		"question"	"Q026"	"PL - V2V"
"Q0"	26	1	"item"	"Q026_01"	"I agree with the component and its subcomponent(s)."
"Q0"	26	2	"item"	"Q026_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	26	3	"item"	"Q026_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	26	4	"item"	"Q026_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	26	5	"item"	"Q026_05"	"I have no opinion."
"Q0"	27		"question"	"Q027"	"PL - External / Exteroceptive Sensors"
"Q0"	27	1	"item"	"Q027_01"	"I agree with the component and its subcomponent(s)."
"Q0"	27	2	"item"	"Q027_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	27	3	"item"	"Q027_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	27	4	"item"	"Q027_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	27	5	"item"	"Q027_05"	"I have no opinion."
"Q0"	29		"question"	"Q029"	"PL - WiFi"
"Q0"	29	1	"item"	"Q029_01"	"I agreee with the component and its subcomponent(s)."
"Q0"	29	2	"item"	"Q029_02"	"I agree with the colour of the component and its subcomponent(s)."
"Q0"	29	3	"item"	"Q029_03"	"I disagree with the component or its subcomponent(s) because "
"Q0"	29	4	"item"	"Q029_04"	"I disagree with the colour of the component or its subcomponent(s) because"
"Q0"	29	5	"item"	"Q029_05"	"I have no opinion."
"Q0"	31		"question"	"Q031"	"Missing Proximity Components"
"Q0"	31	1	"item"	"Q031_01"	"Missing Proximity Layer Component(s)"
"Q0"	31	2	"item"	"Q031_02"	"Bluetooth"
"Q0"	31	3	"item"	"Q031_03"	"V2I"
"Q0"	31	4	"item"	"Q031_04"	"V2P"
"Q0"	31	5	"item"	"Q031_05"	"V2V"
"Q0"	31	6	"item"	"Q031_06"	"External / Exteroceptive Sensors"
"Q0"	31	8	"item"	"Q031_08"	"WiFi"
"Q0"	31	10	"item"	"Q031_10"	"Other Comments"
"Q0"	32		"question"	"Q032"	"Backend & Cloud Layer"
"Q0"	32	1	"item"	"Q032_01"	"I agree with the Backend & Cloud Layer components."
"Q0"	32	2	"item"	"Q032_02"	"I disagree with the Backend & Cloud Layer components because"
"Q0"	32	4	"item"	"Q032_04"	"Missing component(s):"
"Q0"	32	3	"item"	"Q032_03"	"I have no opinion."
"Q0"	33		"question"	"Q033"	"BCL - Telematics Service Providers"
